vgs,id,gm,gds,cgg,vth,gm_id,id_w,gain,ft
0.0,1.71156709e-12,2.18489428e-11,1.19178862e-13,2.15913195e-14,0.576624566,12.765460920377945,1.71156709e-13,183.32901013939875,161.0539479975773
0.01,1.93005652e-12,2.8693779e-11,1.56522107e-13,2.15144444e-14,0.576624566,14.86680763110502,1.93005652e-13,183.32093497821364,212.26468501489268
0.02,2.29257048e-12,3.7682237e-11,2.05563749e-13,2.14455042e-14,0.576624566,16.436675482273504,2.29257048e-13,183.31168400708628,279.6536854242071
0.03,2.72573207e-12,4.9485271e-11,2.69967167e-13,2.13849843e-14,0.576624566,18.154855183547074,2.7257320700000003e-13,183.30107157067732,368.28764423699005
0.04,3.29456337e-12,6.49836409e-11,3.54542231e-13,2.13334203e-14,0.576624566,19.724507803290482,3.29456337e-13,183.28885875375448,484.80119567810993
0.05,4.0415367e-12,8.5333481e-11,4.65603798e-13,2.12914172e-14,0.576624566,21.114117558304,4.0415367e-13,183.27488170532493,637.8741811695058
0.06,5.02241043e-12,1.12052199e-10,6.11442105e-13,2.12596326e-14,0.576624566,22.310442478115036,5.02241043e-13,183.25888597416758,838.8508724824685
0.07,6.3103798e-12,1.47131177e-10,8.02939915e-13,2.1238786e-14,0.576624566,23.315740361618168,6.3103798e-13,183.24058158199793,1102.5420239404727
0.08,8.00152207e-12,1.93183503e-10,1.05438208e-12,2.12296615e-14,0.576624566,24.14334439247507,8.00152207e-13,183.2196379892951,1448.2618776685629
0.09,1.02219381e-11,2.5363759e-10,1.38451736e-12,2.12331084e-14,0.576624566,24.81306260306937,1.02219381e-12,183.19567332835751,1901.1665857842781
0.1,1.31371169e-11,3.3299086e-10,1.81795066e-12,2.12500426e-14,0.576624566,25.347331726948397,1.3137116900000002e-12,183.1682604631305,2493.9781237625048
0.11,1.69642127e-11,4.37141995e-10,2.38696832e-12,2.12814464e-14,0.576624566,25.768481139121768,1.69642127e-12,183.13690690289513,3269.2002239708013
0.12,2.19881347e-11,5.73825924e-10,3.13393022e-12,2.13283667e-14,0.576624566,26.097071526490147,2.1988134699999997e-12,183.10105322000436,4281.960900403792
0.13,2.85826285e-11,7.53183034e-10,4.11440385e-12,2.13919135e-14,0.576624566,26.35107663383723,2.85826285e-12,183.06006446110047,5603.650319269058
0.14,3.72378866e-11,9.88503627e-10,5.40126898e-12,2.14732547e-14,0.576624566,26.54564254997221,3.72378866e-12,183.01321979339752,7326.566964313853
0.15,4.85966965e-11,1.29720099e-09,7.09009129e-12,2.15736111e-14,0.576624566,26.693192818157918,4.85966965e-12,182.9597020604794,9569.837371463525
0.16,6.35017433e-11,1.70208235e-09,9.30615377e-12,2.16942483e-14,0.576624566,26.80371059986317,6.35017433e-12,182.89858432029754,12486.94196756149
0.17,8.30574757e-11,2.2330077e-09,1.22136524e-11,2.18364668e-14,0.576624566,26.885089887218907,8.30574757e-12,182.82882358761086,16275.261775282443
0.18,1.08710971e-10,2.92905265e-09,1.60277145e-11,2.20015898e-14,0.576624566,26.943487148137052,1.08710971e-11,182.74924038608248,21188.160131224486
0.19,1.42357561e-10,3.8413259e-09,2.10300952e-11,2.21909485e-14,0.576624566,26.9836450766391,1.42357561e-11,182.6585121687894,27550.242163462444
0.2,1.86478688e-10,5.03663468e-09,2.75896603e-11,2.24058651e-14,0.576624566,27.00917050639052,1.86478688e-11,182.5551538233329,35776.58359953558
0.21,2.44321668e-10,6.60224742e-09,3.61890898e-11,2.26476331e-14,0.576624566,27.02276664221202,2.44321668e-11,182.4375096607155,46396.91519943922
0.22,3.20133862e-10,8.65207233e-09,4.74596536e-11,2.29174957e-14,0.576624566,27.02642037286265,3.20133862e-11,182.30373957048857,60085.975245022615
0.23,4.19467367e-10,1.13346592e-08,6.22264435e-11,2.32166216e-14,0.576624566,27.021551833852193,4.19467367e-11,182.15180817782073,77701.53086967778
0.24,5.49574941e-10,1.48435419e-08,8.15671202e-11,2.35460798e-14,0.576624566,27.00913158993543,5.49574941e-11,181.9794773139484,100331.90605158248
0.25,7.19923732e-10,1.94305775e-08,1.06888089e-10,2.39068128e-14,0.576624566,26.989772161032192,7.19923732e-11,181.7843099430845,129355.27969061448
0.26,9.42860727e-10,2.54231067e-08,1.40023094e-10,2.42996089e-14,0.576624566,26.963798546251258,9.428607269999999e-11,181.56366906161924,166513.50713951958
0.27,1.23447313e-09,3.3245969e-08,1.83360538e-10,2.47250752e-14,0.576624566,26.931302263338853,1.2344731300000002e-10,181.31474396088433,214003.81035969174
0.28,1.6156984e-09,4.34496596e-08,2.40007526e-10,2.51836111e-14,0.576624566,26.892184580983677,1.6156984e-10,181.03457139089878,274592.39556793444
0.29,2.11375304e-09,5.67462149e-08,3.14000578e-10,2.56753837e-14,0.576624566,26.846189609737948,2.11375304e-10,180.720096954726,351754.8445864108
0.3,2.76396686e-09,7.4054776e-08,4.10575463e-10,2.62003053e-14,0.576624566,26.792931952881666,2.76396686e-10,180.36824572733906,449849.09622267104
0.31,3.61213091e-09,9.65591986e-08,5.36511416e-10,2.67580157e-14,0.576624566,26.731921130732218,3.61213091e-10,179.97603726665156,574327.8548932917
